# 사우디 아람코 아시아향 OSP (두바이/오만 평균 대비 프리미엄, $/bbl)
#
# 아람코는 매월 5일 전후에 발표하며, 공개된 무료 API가 없다.
# 뉴스 파싱은 불안정해 수동 입력으로 관리한다. 매월 한 줄만 추가하면 된다.
# 발표를 놓치면 대시보드 타일에 '경과 개월수'가 표시된다.
#
# 값의 부호에 주의: 마이너스는 두바이 기준가보다 싸게 판다는 뜻으로,
# 정유사에게는 원가 절감이다. 두 리포트가 주목한 지점이 바로 이것이다.
#
month,arab_light,arab_medium,note
2026-05,19.5,17.8,하나증권 화학 제품가격 동향표
2026-06,15.5,13.8,하나증권 화학 제품가격 동향표
2026-07,9.5,7.8,하나증권 화학 제품가격 동향표
2026-08,-1.5,,MoM -11.0 / 2000년 이후 최대 인하폭 (2026-07-06 발표)
