# DART 전자공시 사업보고서(연결) 기준. 2026-07-18 1회 조회 후 고정.
# 네이버 금융이 최근 3개년만 제공해 그 이전 구간을 메우는 용도다.
# 확정된 과거 실적이므로 다시 받을 필요가 없다. 따라서 DART 인증키는
# 이 프로젝트의 자동화에 필요하지 않다.
#
# 검증: 2023년을 같은 방식으로 받아 네이버 값과 대조해 일치를 확인했다
#       (매출 357,267 / 영업이익 13,546 / 순이익 9,488 / DPS 1,700).
#
# 단위: 매출액·영업이익·당기순이익 = 억원, EPS·DPS = 원, 나머지 = %
year,revenue,op,np,eps,dps,div_yield,payout
2021,274639,21409,13785,11840,3800,4.30,32.10
2022,424460,34052,21044,18075,5500,6.20,30.40
